"region2","year","co2","population","gdp","gdp_per_capita","co2_per_capita","accumulated_co2"
"developed (excluding eastern block)",1979,9562277316.66667,731899500,16085677.4353333,21974.3664449959,13.0642491263749,80285477366.6667
"developed (excluding eastern block)",1980,9592801370,737323470,16575472.9753333,22478.8906791819,13.0108932826395,89878278736.6667
"developed (excluding eastern block)",1981,9478255650,742705921.666667,16935150.5636667,22801.2313519151,12.7641555987701,99356534386.6667
"developed (excluding eastern block)",1982,9177776150,747927943,17095292.2076667,22856.5593944738,12.2731943281944,108534310536.667
"developed (excluding eastern block)",1983,8936813586.66667,752883409.333333,17403854.2093333,23115.1978792119,11.8716081148397,117471124123.333
"developed (excluding eastern block)",1984,8898725313.33333,757628479.333333,17901625.728,23625.0702604944,11.7452630373691,126369849436.667
"developed (excluding eastern block)",1985,8978526103.33333,762274985.666667,18634789.84,24442.6394459285,11.7779802088729,135348375540
"developed (excluding eastern block)",1986,9089605896.66667,766841708.333333,19371778.888,25258.9595987333,11.8534886279926,144437981436.667
"developed (excluding eastern block)",1987,9181980093.33333,771361386.333333,20061605.1273333,26005.2290317355,11.9032771855022,153619961530
"developed (excluding eastern block)",1988,9365591533.33333,775865132,20833015.599,26847.6790106917,12.0700414604285,162985553063.333
"developed (excluding eastern block)",1989,9620210076.66667,780375052,21662743.5043333,27755.7118774797,12.3266614693131,172605763140
"developed (excluding eastern block)",1990,10197640263.3333,811625543,23181810.082,28540.8927661408,12.55797198603,182803403403.333
"developed (excluding eastern block)",1991,10640848106.6667,843373976.333333,24461601.39,28993.2161497711,12.615509253329,193444251510
"developed (excluding eastern block)",1992,11029666636.6667,875616903.666667,25656544.714,29300.0182504657,12.5969653605775,204473918146.667
"developed (excluding eastern block)",1993,11026836303.3333,881483752.666667,26015839.0413333,29512.4566159422,12.5095641646778,215500754450
"developed (excluding eastern block)",1994,11105953956.6667,887093027.666667,26574236.6506667,29954.6657082301,12.5193632980016,226606708406.667
"developed (excluding eastern block)",1995,11217335826.6667,892271813,27191637.6416667,30472.0227281856,12.5712973880989,237824044233.333
"developed (excluding eastern block)",1996,11423343416.6667,896997405.333333,27975537.1816667,31185.701184721,12.7344546733005,249247387650
"developed (excluding eastern block)",1997,11582243523.3333,901396190,28804986.479,31953.3318973745,12.8488311681419,260829631173.333
"developed (excluding eastern block)",1998,11703851983.3333,905494986.666667,29708759.1996667,32806.7239613467,12.9254620358448,272533483156.667
"developed (excluding eastern block)",1999,11748865036.6667,909512310,30688697.846,33739.2568934795,12.9177335599377,284282348193.333
"developed (excluding eastern block)",2000,11880329963.3333,913659659.333333,31752117.4516667,34749.284285183,13.0025710132411,296162678156.667
"developed (excluding eastern block)",2001,11983645530,918181351.333333,32669577.9273333,35578.1528044556,13.0513276349738,308146323686.667
"developed (excluding eastern block)",2002,12077311260,923139446.333333,33396787.0226667,36176.2331771482,13.0831207203455,320223634946.667
"developed (excluding eastern block)",2003,12142024153.3333,928399901.333333,33944930.6726667,36561.2397014773,13.0782144587573,332365659100
"developed (excluding eastern block)",2004,12263438936.6667,933910780.666667,34688052.347,37139.8973154764,13.130941456619,344629098036.667
"developed (excluding eastern block)",2005,12366703886.6667,939559928.666667,35593677.865,37879.9185218836,13.1622904234596,356995801923.333
"developed (excluding eastern block)",2006,12378693526.6667,945188350.666667,36611804.6913333,38731.6994736619,13.0970062595559,369374495450
"developed (excluding eastern block)",2007,12384559316.6667,950880610.333333,37569683.4516667,39507.3300786781,13.0245898751454,381759054766.667
"developed (excluding eastern block)",2008,12259734936.6667,956719628,38229692.0536667,39958.1141885774,12.8153195541108,394018789703.333
"developed (excluding eastern block)",2009,11877053606.6667,962602312.666667,38104445.6016667,39588.4564365911,12.3414126443853,405895843310
"developed (excluding eastern block)",2010,11584118053.3333,968313459,38015449.6473333,39260.9714826671,11.9644353120736,417479961363.333
"developed (excluding eastern block)",2011,11352114420,973711001.333333,38112500.4763333,39139.2459556086,11.6585263330181,428832075783.333
"developed (excluding eastern block)",2012,11342259483.3333,978841208.333333,38808133.5576667,39645.8146788637,11.5883288970043,440174335266.667
"developed (excluding eastern block)",2013,11226054780,983729015,39358326.5236667,40008.2525031213,11.4121523184394,451400390046.667
"developed (excluding eastern block)",2014,11119357200,988472799.333333,39976766.4196667,40441.3420063532,11.2494021650388,462519747246.667
"developed (excluding eastern block)",2015,11027331240,993349928.666667,40770925.9483333,41041.4924301207,11.101886888535,473547078486.667
"developed (excluding eastern block)",2016,10861056836.6667,998523723,41620284.9573333,41679.5269965942,10.8779085285273,484408135323.333
"developed (excluding eastern block)",2017,10740430620,1003877531.33333,42555418.1486667,42388.6278019571,10.6995366875285,495148565943.333
"developed (excluding eastern block)",2018,10689151146.6667,1009163170.33333,43490786.713,43093.1342519608,10.5922432844382,505837717090
"developed (excluding eastern block)",2019,10599705746.6667,1014202267.33333,44448079.436,43823.4882624222,10.4517988114518,516437422836.667
"developed (excluding eastern block)",2020,10198078320,1018377121.33333,44439770.9053333,43639.1767370539,10.0155908070102,526635501156.667
"developed (excluding eastern block)",2021,9951881783.33333,1021212861.33333,44912707.444,43979.8960597041,9.74558708392811,536587382940
