"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"COL","CO",1976,36727700,23345641,67223.565,"America","developing","Developing America",2878.95660377815,1.57322865337978,196634466.666667
"COL","CO",1977,37676566.6666667,23865649.3333333,69747.08,"America","developing","Developing America",2921.56990909292,1.57814891358942,234311033.333333
"COL","CO",1978,39584966.6666667,24400880.3333333,73819.455,"America","developing","Developing America",3023.51807207886,1.62173126092548,273896000
"COL","CO",1979,41680700,24953152.3333333,78255.522,"America","developing","Developing America",3134.02587289558,1.66941176526962,315576700
"COL","CO",1980,43325100,25523487,82856.345,"America","developing","Developing America",3245.12779449069,1.69725837043394,358901800
"COL","CO",1981,44233800,26111130.3333333,86060.4453333333,"America","developing","Developing America",3295.51242435938,1.69465535250169,403135600
"COL","CO",1982,44704600,26718698.6666667,88129.743,"America","developing","Developing America",3298.79140262742,1.67332023506462,447840200
"COL","CO",1983,46383066.6666667,27346590.3333333,89535.079,"America","developing","Developing America",3274.6339004939,1.69532754278624,494223266.666667
"COL","CO",1984,47863466.6666667,27989731.3333333,91297.2493333333,"America","developing","Developing America",3261.76178441856,1.7098094799358,542086733.333333
"COL","CO",1985,48663533.3333333,28633111,93751.0326666667,"America","developing","Developing America",3273.75809195316,1.70041544766178,590750266.666667
"COL","CO",1986,48511766.6666667,29263424,97613.4986666667,"America","developing","Developing America",3334.6253391456,1.65824549060594,639262033.333333
"COL","CO",1987,48985933.3333333,29882349.6666667,102293.874,"America","developing","Developing America",3421.63158575731,1.63928778666386,688247966.666667
"COL","CO",1988,50298566.6666667,30503034.3333333,107463.689333333,"America","developing","Developing America",3521.82195708362,1.64870075775187,738546533.333333
"COL","CO",1989,51644733.3333333,31135423.3333333,112033.130333333,"America","developing","Developing America",3597.45785762134,1.65859133783624,790191266.666667
"COL","CO",1990,53902633.3333333,31782290.6666667,116427.446,"America","developing","Developing America",3662.4158677078,1.6954227417366,844093900
"COL","CO",1991,55448200,32438240,120168.334,"America","developing","Developing America",3704.0001540855,1.70900381059831,899542100
"COL","CO",1992,58348833.3333333,33099670.6666667,124296.505333333,"America","developing","Developing America",3754.72804792588,1.76237195046215,957890933.333333
"COL","CO",1993,60495533.3333333,33766805.3333333,129212.855,"America","developing","Developing America",3825.21317602435,1.79072702830039,1018386466.66667
"COL","CO",1994,63956633.3333333,34443151.3333333,135651.228666667,"America","developing","Developing America",3936.69185920936,1.85629993519514,1082343100
"COL","CO",1995,63265300,35124515,142900.829,"America","developing","Developing America",4066.77389140029,1.80232837088262,1145608400
"COL","CO",1996,62123600,35798272.3333333,148735.029,"America","developing","Developing America",4153.93920420547,1.73703601866974,1207732000
"COL","CO",1997,61529866.6666667,36462852,153992.299333333,"America","developing","Developing America",4222.80767964043,1.68687534305911,1269261866.66667
"COL","CO",1998,63655900,37125353,157075.081333333,"America","developing","Developing America",4230.85019749981,1.7140386437473,1332917766.66667
"COL","CO",1999,62176933.3333333,37789392.3333333,156894.542,"America","developing","Developing America",4153.57028260011,1.64720539035161,1395094700
"COL","CO",2000,59288666.6666667,38445654,156450.498666667,"America","developing","Developing America",4070.51513268296,1.54380471614464,1454383366.66667
"COL","CO",2001,56305133.3333333,39084686.3333333,156584.556333333,"America","developing","Developing America",4006.00222542413,1.44065162107636,1510688500
"COL","CO",2002,56446933.3333333,39707958.6666667,160286.818333333,"America","developing","Developing America",4036.42710945591,1.42187042128497,1567135433.33333
"COL","CO",2003,56709166.6666667,40323790.3333333,164639.881333333,"America","developing","Developing America",4082.26748221911,1.40649768281992,1623844600
"COL","CO",2004,55975366.6666667,40935093.3333333,171140.310666667,"America","developing","Developing America",4179.51334038,1.36776814413125,1679819966.66667
"COL","CO",2005,57395500,41536525.6666667,179120.159333333,"America","developing","Developing America",4310.92656202998,1.38168685786677,1737215466.66667
"COL","CO",2006,59037600,42121077.3333333,189164.356,"America","developing","Developing America",4489.25701548579,1.40095995796222,1796253066.66667
"COL","CO",2007,60985833.3333333,42685145,200682.802333333,"America","developing","Developing America",4699.35080078673,1.42885948138992,1857238900
"COL","CO",2008,63253300,43228422,211728.747666667,"America","developing","Developing America",4896.44249797973,1.4629474480475,1920492200
"COL","CO",2009,66638700,43755241,219409.728,"America","developing","Developing America",5014.08383477752,1.52204969651283,1987130900
"COL","CO",2010,71897033.3333333,44269222.6666667,225937.364,"America","developing","Developing America",5103.07823941702,1.62342269350161,2059027933.33333
"COL","CO",2011,74983766.6666667,44769491.3333333,235531.143666667,"America","developing","Developing America",5259.24900830701,1.67470844641059,2134011700
"COL","CO",2012,77582000,45250914.3333333,247542.242,"America","developing","Developing America",5468.83641817702,1.71430685720039,2211593700
"COL","CO",2013,81528066.6666667,45709002.6666667,260646.142333333,"America","developing","Developing America",5701.01483527196,1.78290325698442,2293121766.66667
"COL","CO",2014,88881366.6666667,46144274.3333333,272433.792666667,"America","developing","Developing America",5902.58710913372,1.92507385947989,2382003133.33333
"COL","CO",2015,94387666.6666667,46562317.6666667,283773.575333333,"America","developing","Developing America",6093.49977507421,2.02667956721126,2476390800
"COL","CO",2016,98248000,46990960.3333333,292715.126,"America","developing","Developing America",6228.58313917265,2.09080692207384,2574638800
"COL","CO",2017,96244966.6666667,47512843.3333333,298923.395,"America","developing","Developing America",6291.19342283666,2.02630484716337,2670883766.66667
"COL","CO",2018,93024233.3333333,48197685,304918.793,"America","developing","Developing America",6326.20266651155,1.93182666661413,2763908000
"COL","CO",2019,91294966.6666667,49021176,312180.839666667,"America","developing","Developing America",6367.49881301387,1.86250390098771,2855202966.66667
"COL","CO",2020,90447066.6666667,49854149,310315.818,"America","developing","Developing America",6226.85842343675,1.81421547414662,2945650033.33333
"COL","CO",2021,93331466.6666667,50575385,316800.904,"America","developing","Developing America",6264.03195867814,1.84552796996253,3038981500
"COL","CO",2022,95071466.6666667,51185371.3333333,327981.862333333,"America","developing","Developing America",6404.21554724224,1.85683545351238,3134052966.66667
"COM","KM",1972,29312,252042.333333333,275.265333333333,"Africa","developing","Africa",1092.13369867864,0.116375007880762,58624
"COM","KM",1973,29312,260254,288.007333333333,"Africa","developing","Africa",1106.30200813843,0.11270813204203,87936
"COM","KM",1974,29312,268990.666666667,300.036,"Africa","developing","Africa",1115.00313104989,0.10905166678134,117248
"COM","KM",1975,30533.3333333333,278195.666666667,316.887666666667,"Africa","developing","Africa",1138.74552112863,0.109690833111188,147781.333333333
"COM","KM",1976,34197.3333333333,287768.333333333,327.152666666667,"Africa","developing","Africa",1136.87765957085,0.11849710711877,181978.666666667
"COM","KM",1977,37861.3333333333,297603,338.773666666667,"Africa","developing","Africa",1138.65780359251,0.127039054865501,219840
"COM","KM",1978,36640,307601.666666667,347.058333333333,"Africa","developing","Africa",1128.23021740603,0.119587069496007,256480
"COM","KM",1979,30533.3333333333,317686,366.449333333333,"Africa","developing","Africa",1152.78357727272,0.0967900018549961,287013.333333333
"COM","KM",1980,32976,327733.333333333,391.076,"Africa","developing","Africa",1192.0470219768,0.100124416188031,319989.333333333
"COM","KM",1981,39082.6666666667,337631.333333333,417.610333333333,"Africa","developing","Africa",1236.27311024428,0.115074562133421,359072
"COM","KM",1982,47632,347414,442.037666666667,"Africa","developing","Africa",1271.8430691195,0.137175867239549,406704
"COM","KM",1983,47632,357251.333333333,464.286333333333,"Africa","developing","Africa",1298.96732164522,0.133397741237432,454336
"COM","KM",1984,47632,367336.333333333,487.794333333333,"Africa","developing","Africa",1327.53418136644,0.129735955997704,501968
"COM","KM",1985,47632,377740.666666667,505.370333333333,"Africa","developing","Africa",1337.82590765489,0.12616281420518,549600
"COM","KM",1986,46410.6666666667,388435.666666667,518.914666666667,"Africa","developing","Africa",1336.11048301245,0.119630352402715,596010.666666667
"COM","KM",1987,46410.6666666667,399369.666666667,528.654333333334,"Africa","developing","Africa",1323.95687580355,0.116270232870562,642421.333333333
"COM","KM",1988,47632,410481.333333333,539.821333333333,"Africa","developing","Africa",1315.23373187136,0.115934603531728,690053.333333333
"COM","KM",1989,50074.6666666667,421743,544.516,"Africa","developing","Africa",1291.6120028968,0.118711472019071,740128
"COM","KM",1990,56181.3333333333,433128.666666667,547.865333333333,"Africa","developing","Africa",1265.58408737274,0.129474827246138,796309.333333333
"COM","KM",1991,61066.6666666667,444418.333333333,549.648666666667,"Africa","developing","Africa",1237.03771568493,0.137184098803525,857376
"COM","KM",1992,67173.3333333333,455088.333333333,570.304333333333,"Africa","developing","Africa",1252.66969615386,0.147596470824858,924549.333333333
"COM","KM",1993,69616,464783.666666667,595.480666666667,"Africa","developing","Africa",1280.59427593429,0.149716980355526,994165.333333333
"COM","KM",1994,72058.6666666667,473645.666666667,606.438333333334,"Africa","developing","Africa",1280.81969259642,0.152122272577012,1066224
"COM","KM",1995,74501.3333333333,482136.666666667,608.643333333334,"Africa","developing","Africa",1262.79071000294,0.154510788304044,1140725.33333333
"COM","KM",1996,76944,490611.666666667,602.050666666667,"Africa","developing","Africa",1227.2319655892,0.156777955895025,1217669.33333333
"COM","KM",1997,80608,499156.666666667,614.916,"Africa","developing","Africa",1231.95578483641,0.161436022261169,1298277.33333333
"COM","KM",1998,85493.3333333333,507827,623.086666666667,"Africa","developing","Africa",1226.83859787799,0.168260431931088,1383770.66666667
"COM","KM",1999,90378.6666666667,516753.333333333,638.063333333334,"Africa","developing","Africa",1234.78687836055,0.174808791851511,1474149.33333333
"COM","KM",2000,96484.6666666667,526187.666666667,649.725,"Africa","developing","Africa",1234.73454695195,0.183278149682657,1570634
"COM","KM",2001,101371.333333333,536395.333333333,664.067,"Africa","developing","Africa",1237.96369391324,0.188900572286456,1672005.33333333
"COM","KM",2002,105036.666666667,547407.666666667,679.545,"Africa","developing","Africa",1241.35509183951,0.191889274419126,1777042
"COM","KM",2003,116030,558647,694.711333333334,"Africa","developing","Africa",1243.53458545622,0.207407851787965,1893072
"COM","KM",2004,129463.333333333,569808.333333333,709.28,"Africa","developing","Africa",1244.75855219236,0.226808456732028,2022535.33333333
"COM","KM",2005,141676.666666667,581059.666666667,725.389,"Africa","developing","Africa",1248.33094920539,0.243806381357803,2164212
"COM","KM",2006,151446.666666667,592711.333333333,743.309333333333,"Africa","developing","Africa",1253.96770540849,0.255377651988045,2315658.66666667
"COM","KM",2007,138013.333333333,604785.666666667,715.776666666667,"Africa","developing","Africa",1184.96685617741,0.228663480627574,2453672
"COM","KM",2008,127020,616995.666666667,689.959666666667,"Africa","developing","Africa",1119.60648341347,0.206516453512756,2580692
"COM","KM",2009,117250,629393.666666667,671.865333333334,"Africa","developing","Africa",1067.03985303827,0.186031594742838,2697942
"COM","KM",2010,135570,642030,706.078333333333,"Africa","developing","Africa",1099.25110975014,0.21068434419162,2833512
"COM","KM",2011,146563.333333333,654946.333333333,746.412666666667,"Africa","developing","Africa",1139.16737967792,0.223762976846165,2980075.33333333
"COM","KM",2012,152670,668174,788.901333333333,"Africa","developing","Africa",1180.06446225059,0.228623639037588,3132745.33333333
"COM","KM",2013,159996.666666667,681959.333333333,844.936333333333,"Africa","developing","Africa",1238.08005424339,0.234272555887172,3292742
"COM","KM",2014,166103.333333333,696441.666666667,898.218333333333,"Africa","developing","Africa",1288.99001675828,0.23850139877204,3458845.33333333
"COM","KM",2015,174653.333333333,711459,941.233666666667,"Africa","developing","Africa",1322.82034164656,0.245601577414278,3633498.66666667
"COM","KM",2016,185646.666666667,726642,968.303,"Africa","developing","Africa",1332.52124369853,0.255036124876587,3819145.33333333
"COM","KM",2017,221063.333333333,741697.333333333,1002.05266666667,"Africa","developing","Africa",1350.64792155788,0.297333704612578,4040208.66666667
"COM","KM",2018,258923.333333333,756666.666666667,1043.69733333333,"Africa","developing","Africa",1378.84020217528,0.341607935798315,4299132
"COM","KM",2019,290676.666666667,771612.333333333,1089.58466666667,"Africa","developing","Africa",1411.75398152529,0.376439099566268,4589808.66666667
"COM","KM",2020,328540,786777,1132.047,"Africa","developing","Africa",1438.50467875939,0.416958138730583,4918348.66666667
"COM","KM",2021,369210,802305,1171.282,"Africa","developing","Africa",1459.63408364317,0.459456500323416,5287558.66666667
"COM","KM",2022,402983.333333333,818175,1207.86966666667,"Africa","developing","Africa",1476.16004302195,0.492410365631657,5690542
"CPV","CV",1972,41485.6666666667,293105.666666667,270.204,"Africa","developing","Africa",921.644383979828,0.141320392216233,78076.3333333333
"CPV","CV",1973,50035,297104.333333333,278.428666666667,"Africa","developing","Africa",937.081799929388,0.168135129918952,128111.333333333
"CPV","CV",1974,59815.6666666667,299945.666666667,284.256333333333,"Africa","developing","Africa",947.632440895639,0.199291253678119,187927
"CPV","CV",1975,68375,302766,271.625,"Africa","developing","Africa",897.680444060603,0.225687260842077,256302
"CPV","CV",1976,72058.6666666667,305957.333333333,259.173,"Africa","developing","Africa",847.691955718214,0.235450960586525,328360.666666667
"CPV","CV",1977,76944,309378.666666667,240.405333333333,"Africa","developing","Africa",777.209615944422,0.248683461105158,405304.666666667
"CPV","CV",1978,120809.333333333,312812,245.529666666667,"Africa","developing","Africa",784.855813505902,0.384701156756866,526114
"CPV","CV",1979,179432.666666667,316153.666666667,251.716333333333,"Africa","developing","Africa",795.900272330316,0.565720360661315,705546.666666667
"CPV","CV",1980,192866.666666667,319642.666666667,266.63,"Africa","developing","Africa",833.960459438197,0.604492244029801,898413.333333333
"CPV","CV",1981,134345.333333333,323542.333333333,281.856333333333,"Africa","developing","Africa",870.752700737211,0.41814356234978,1032758.66666667
"CPV","CV",1982,63508.6666666667,327957,297.194333333333,"Africa","developing","Africa",905.856898116243,0.194896988208217,1096267.33333333
