Member,GDP_2015,votes,GDP_2015_share,votes_share
Togo,8227.859,2920,0.009009239974001876,0.05792441736367726
Tonga,439.791,1590,4.8155694663778987e-4,0.03154103548227632
Trinidad and Tobago,22253.864,6150,0.02436726262868643,0.12199834478993671
Tunisia,51188.847,6904,0.056050134866854916,0.13695554023247528
Turkey,1248136.944,48038,1.3666696584024276,0.9529360141494275
Turkmenistan,39696.169,3838,0.04346602349037995,0.07613490200061415
Tuvalu,46.031,1477,5.040245891954157e-5,0.029299439878818945
Uganda,41748.849,5062,0.04571364182096075,0.10041554818319667
Ukraine,75551.565,21570,0.08272652454258161,0.4278868775803146
United Arab Emirates,443708.666,24564,0.48584666442852836,0.4872792425073179
United Kingdom,3212711.961,203003,3.517815877009457,4.02699674591732
United States,21865706.841,831394,23.942243070979153,16.492470222485306
Uruguay,63149.461,5743,0.06914662105632492,0.11392463319164334
