"ISO3","ISO2","year","co2","population","gdp","region","unctad_development_status","region2","gdp_per_capita","co2_per_capita","accumulated_co2"
"KEN","KE",2006,8570066.66666667,35853366.3333333,42142.6143333333,"Africa","developing","Africa",1174.72474801578,0.238625392535805,218802466.666667
"KEN","KE",2007,9314666.66666667,36935018.6666667,44831.9866666667,"Africa","developing","Africa",1212.9873347503,0.251997675438095,228117133.333333
"KEN","KE",2008,9873966.66666667,38049647,46776.1363333333,"Africa","developing","Africa",1229.23918647612,0.259481399742366,237991100
"KEN","KE",2009,10799633.3333333,39196044,49080,"Africa","developing","Africa",1251.93638907773,0.275056793613332,248790733.333333
"KEN","KE",2010,11579500,40356411.3333333,51749.4553333333,"Africa","developing","Africa",1281.13999731763,0.286622494466941,260370233.333333
"KEN","KE",2011,12651100,41505827.6666667,55333.8873333333,"Africa","developing","Africa",1332.27857113831,0.304716841239452,273021333.333333
"KEN","KE",2012,12705500,42626281.6666667,58543.0536666667,"Africa","developing","Africa",1372.90842011021,0.298125572306739,285726833.333333
"KEN","KE",2013,13137100,43717772.6666667,61144.2786666667,"Africa","developing","Africa",1398.24975134381,0.300622285767181,298863933.333333
"KEN","KE",2014,13498400,44783345.6666667,63862.291,"Africa","developing","Africa",1425.58506802834,0.301172261002726,312362333.333333
"KEN","KE",2015,14996000,45825239.6666667,66823.5416666667,"Africa","developing","Africa",1457.64609286416,0.326776900687757,327358333.333333
"KEN","KE",2016,16554833.3333333,46859340.3333333,69999.6636666667,"Africa","developing","Africa",1493.31743924009,0.352836892681223,343913166.666667
"KEN","KE",2017,17614133.3333333,47898098.3333333,73036.7303333334,"Africa","developing","Africa",1524.44364203502,0.367749620947778,361527300
"KEN","KE",2018,18227300,48932037,76383.646,"Africa","developing","Africa",1560.46659552184,0.372514801277728,379754600
"KEN","KE",2019,18782200,49950963.6666667,80114.9376666667,"Africa","developing","Africa",1603.17653562632,0.375833662555233,398536800
"KEN","KE",2020,20206533.3333333,50963511.3333333,82839.8706666667,"Africa","developing","Africa",1625.39558874807,0.396185272775243,418743333.333333
"KEN","KE",2021,22079733.3333333,51980948,86267.8013333334,"Africa","developing","Africa",1659.26417362007,0.42428630048492,440823066.666667
"KEN","KE",2022,23763966.6666667,53006293.6666667,89779.3016666667,"Africa","developing","Africa",1692.86128603817,0.44808520015988,464587033.333333
"KGZ","KG",1994,8551466.66666667,4513262.66666667,3522.269,"Asia and Oceania","developing","Developing Asia",780.764741641301,1.89593124509989,18735333.3333333
"KGZ","KG",1995,6373200,4544994.66666667,3017.83933333333,"Asia and Oceania","developing","Developing Asia",664.593076786847,1.40509525480172,25108533.3333333
